ID;Question;AnswerOne;AnswerTwo;AnswerThree;AnswerFour;Correct;Argument
283;The RTE LEGS page is used to monitor route progress and modify the route.;True;False;;;1;Flight management, navigation
284;During a VNAV path descent the FMC uses idle thrust and pitch to fly a vertical path which complies with an altitude and speed restrictions an the flight path.;True;False;;;1;Flight management, navigation
285;"The FMC advisory message DRAG REQUIRED indicates the aeroplane is on
10kt or more above the FMC target speed or within 5kt of Vmo/Mmo.";True;False;;;1;Flight management, navigation
286;If the FMC receives invalid fuel data:;VNAV disengages and VNAV operation is not possible;The scratch pad message “VERIFY GW AND FUEL” may be displayed;Periodic entry of fuel weight is required in order to keep gross weight value current;The scratch pad message “VERIFY GW AND FUEL” may be displayed and periodic entry of fuel weight is required in order to keep gross weight and value current;4;Flight management, navigation
287;"Which of the following systems must be operative for an autopilot approach in
CATII conditions?";"2 sources of electrical power (APU GEN may not be used
as a substitute for the right or left source)";1 IRU associated with the engaged autopilot;"2 hydraulic system (the standby system may be used as a
substitute for the A and B system)";None of the answers are correct;4;Low visibility operations
288;"During a CATIIIA approach, at 150ft RA, on glide slope, with the weather at minimums, you notice a steady autopilot disengage warning light (stabilizer out
of trim). You should:";Continue the approach with autopilot engaged;Disengage the autopilot and execute a manual landing;Disengage the autopilot and immediately execute a manual go-around;Lift and turn the alternate stabilizer trim switch to “on” position before continuing approach;3;Low visibility operations
289;"Which of the following systems is not required to be operative for a FD (Flight
Director) approach in CATII conditions?";2 sources of electrical power;FD approach is not permitted in CATII conditions;2 separate Flight Directors;"2 ADI displays supplied by different symbol generator
(DEU)";2;Low visibility operations
290;"During a CATII approach you notice at 500ft RA that there is no FLARE arm
annunciations, you should:";Continue the approach with the autopilot engaged;Disengage the autopilot and execute a manual level off;Immediately execute a go-around;"Engage the autopilot if disengaged and continue the
approach";3;Low visibility operations
291;Maximum allowable crosswind for a dual channel CATIIIA landing is:;15kt;20kt;25kt;28kt;2;Low visibility operations
292;For CATIIIA operations, what minima is the 737-800 certified to:;25ft   RA and 200m RVR;50ft   RA and 200m RVR;75ft   RA and 200m RVR;100ft RA and 200m RVR;2;Low visibility operations
293;"You experience a flashing red Autopilot Disengage Light and warning tone while at 200ft RA on a CATIIIA approach (weather conditions at minimums), what you
should do?";Continue the approach with the autopilot disengaged;Engage the autopilot and execute a landing;Execute an immediate manual go around;Engage standby autopilot and execute a go around;3;Low visibility operations
294;"The aeroplane is approved for Flight Director or single autopilot operations to
CATI minimums with an engine initially inoperative if:";Aeroplane is trimmed for the condition;Flight Director and/or autopilot may be used;Autothrottle is disengaged;All of the answers are correct;4;Low visibility operations
295;"Boeing 737-800 is classified as category          aeroplane for straight
approaches:";D;C;A;B;2;Low visibility operations
296;"Boeing 737-800 for circling approaches, uses category          minima or the
minima associated with the anticipated circling minima:";C;D;B;A;1;Low visibility operations
297;"ILS Critical Area is restricted from all vehicle or aeroplane operations anytime
the weather at the aerodrome is reported less than:";800ft ceiling and/or 2 miles visibility;600ft ceiling and/or 2 miles visibility;1000ft ceiling and/or 2 miles visibility;100ft ceiling and/or ½ miles visibility;1;Low visibility operations
298;CAT II approaches must be conducted using:;One autopilots;Two autopilots;Flight director only;All of the answers are correct;2;Low visibility operations
299;The PSEU system on the ground monitors which of the following?;Takeoff and landing configuration warnings;Landing gear;Air/ground sensing;All of the answers are correct;4;Warning System
300;"Which of the following will cause activation of the take off configuration warning
horn?";"Leading Edge flaps in the extend position and Trailing
Edge flaps at 5";"Leading Edge flaps in the full extend position and Trailing
Edge flaps at 15";"Spoilers not down with the speed brake lever in the
DOWN position";Speed brake lever in the DOWN position;3;Warning System
301;The red Landing Gear Indicator Lights are illuminated under which of the following conditions?;Landing gear is not in disagreement with LANDING GEAR lever position (not in transit or unsafe);"Landing gear is not down and locked (with either or both forward thrust levers retarded to idle and below 800ft
AGL)";Landing gear is up and locked with the LANDING GEAR lever UP and OFF;Landing gear is down and locked;2;Warning System
302;"While in flight and performing the landing checklist the PSEU light illuminate on
recall. This indicate:";A normal condition;"A fault is detected in the landing gear locking system or in
the air/ground sensing system";"The landing gear configuration warning horn will sound
upon landing";"A problem exists in the PSEU light because this light
should be inhibited in flight";4;Warning System
303;The MACH AIRSPEED WARNING  TEST is:;Inhibited on ground;Inhibited during IRS alignment;Inhibited until the clacker sound between 50ft and 300ft;Inhibited while airborne;4;Warning System
304;"The Stall Management Yaw Damper (SMYD) computers determine when the
stall warning is required based on which of the following:";Anti-ice controls;ADIRU outputs;FMC outputs;All of the answers are correct;4;Warning System
305;How can you silence the Mach/airspeed warning in flight?;Reduce the aeroplane speed to below Vmo/Mmo;Press the mach/airspeed warning cutout switch;All of the answers are correct;Press the mach/airspeed override switch;1;Warning System
306;"On an ILS approach 1.3 dots below glide slope, a BELOW G/S alert occurs. To
cancel or inhibit the ground proximity GLIDE SLOPE alert:";Correct the flight path back to the localizer;"Push either pilot’s BELOW G/S P-EXTINGUISH light while
in the alerting area";"Push the BELOW G/S P-INHIBIT light when below 1000ft
RA";Turn the volume control off;3;Warning System
307;The Ground Proximity System Test switch (SYS TEST)is:;Inhibited in flight;Active between 50ft and 200ft RA;"Momentary active on ground, with terrain display test
pattern exhibited on PFD";Active (push) on ground for 60sec;1;Warning System
308;An intermittent Takeoff Configuration Warning horn sound if:;Stabilizer trim is not set in the takeoff range;The Leading Edge devices not configured for takeoff;The speed brake lever is not in the DOWN position;All of the answers are correct;4;Warning System
309;A ground proximity alert does not guarantee terrain clearance.;True;False;;;1;Warning System
310;The GPWS provides alerts for all of the following except:;Excessive descent rate;"Unsafe terrain clearance  when not in the landing
configuration";"Terrain clearance is guaranteed with a ground proximity
alert";Excessive deviation below an ILS glide slope;3;Warning System
311;When deviating by 200ft from the selected altitude, a momentary tone sounds and the current altitude box turns amber and begins to flash and continues until:;The altitude deviation becomes less than 200ft;A new altitude is selected;The altitude deviation becomes more than 900ft;All of the answers are correct;4;Warning System
312;The PSEU light is inhibited;In flight;"When the thrust levers are advanced toward takeoff
power";For 30sec after landing;All of the answers are correct;4;Warning System
313;"The GPWS provides alerts based on radio altitude and combinations of barometric, altitude, airspeed, glide slope deviation and aeroplane configuration
during:";Normal descent rate;Altitude loss after level off;Unsafe terrain clearance when in landing configuration;Excessive terrain closure rate;4;Warning System
314;"The Stall Management Yaw Damper (SYMD) computers provide outputs for all
stall warning to include:";DEU’s;Pitch indicator;Altimeters;GPWS windshear detection and alert;4;Warning System
315;The Landing Gear Configuration Warning horn is activated by forward thrust lever and flap position as follow:;"Flaps up through 10 - altitude below 800ft RA, landing gear warning horn can be silenced (reset) with the landing
gear warning HORN CUTOUT switch";"Flaps 15 through 25 - landing gear warning horn can be silenced with the landing gear warning HORN CUTOUT
switch";Flaps 25 - landing gear warning horn can be silenced with the landing gear warning HORN CUTOUT switch;"Flaps 40 - forward thrust lever position is 90% N1, landing gear warning horn cannot be silenced with the landing
gear warning HORN CUTOUT switch";1;Warning System
316;Center tank fuel is used before main tanks fuel because:;Center tank check valves open at a lower differential pressure than main tank check valves;Center tank check valves open at a higher differential pressure than main tank check valves;Center tank fuel pumps produce higher pressure than main tank pumps;"Main tank pumps cannot produce pressure until the center tank LOW PRESSURE lights illuminate and the center
tank pump are turned OFF";3;Fuel
317;The fuel quantity indication system:;Calculates and displays total fuel quantity;Calculates the usable fuel quantity in each tank;Displays fuel quantity in analog format only;Calculates the usable fuel quantity in the main tanks;2;Fuel
318;The capacity of the center fuel tank is:;"Greater than the capacity of the two main fuel tanks
combined";"Greater than the capacity of either main  tank but less
than the capacity of both main tanks together";Is less than the capacity of either main tank;Is equal to the capacity of both main tanks combined;1;Fuel
319;There are CDS fuel alert indications for:;Fuel quantity low in the main tank, impending fuel filter bypass, more than 453kg per hour fuel flow difference between engines;"Fuel quantity less than 907kg in main tank, both center tank fuel pumps producing low or no pressure with greater than 726kg in the center tank, greater than 453kg fuel
difference between  main tanks";"Fuel quantity low in center or main tank, either center tank fuel pump producing low or no pressure with greater than 726kg fuel in the center tank and excessive fuel flow
difference between engines";Any fuel pump producing low or no pressure with  the pump switch on, impending fuel filter bypass, greater than 453kg fuel quantity difference between main tanks;2;Fuel
320;"During cruise, both center tank fuel pumps have failed and the center tank fuel pump switches are OFF. You still have 320kg of fuel in the center tank and both
main tanks are full. The Upper Display Unit will show:";A LOW indication;A CONFIG indication;A pump LOW PRESSURE indication;None of the answers are correct;4;Fuel
321;You have 2500kg of fuel in the main tank N°1 and 3060kg of fuel in the main tank N°2. You will see:;A low indication below main tank N°1 accompanied by a Master Caution light and system annunciation for fuel;An IMBAL indication below main tank N°1 accompanied b a Master Caution light and system annunciation for fuel;An IMBAL indication below main tank N°1 with no Master Caution light and no system annunciation for fuel;The fuel quantity arc and digits on main tank N°2 turn amber;3;Fuel
322;In flight below FL300, two fuel pump LOW PRESSURE lights for the main tank N°1 illuminate. What happens to the engine N°1?;It receives fuel from main tank N°2 automatically;It will shut down due to fuel starvation;"It will continue to operate. Mechanically engine driven fuel pumps provide suction feed in the event that normal
electrical fuel pump operation is not available";It continues to operate using fuel through the center tank bypass valve;3;Fuel
323;The center tank scavenge jet pump operates when:;Both center tank fuel pump switches are turned off;"The main tank N°1 fuel is about ½ full and the main tank
N°1 forward pump is operating";The center fuel tank about 2/3 full;Either engine is operating;2;Fuel
324;In which fuel tanks are bypass valves located?;The canter tank;Both main tanks;All tanks;No tanks;2;Fuel
325;"What is the condition of the VALVE OPEN light when the crossfeed selector is
positioned OPEN and the crossfeed valve is closed?";Illuminated dim blue;Illuminated bright blue;Illuminated amber;Extinguished;2;Fuel
326;What is the source of electrical power for the engine fuel shutoff valves?;The Hot Battery Bus;The Battery Bus;The DC Standby Bus;The AC Standby Bus;2;Fuel
327;Ground transfer of fuel between the tanks:;Is accomplished at the wing fueling station;Is accomplished from the fuel control panel;Is not possible;"Can only be accomplished if the center tank contains more
than 3850kg";1;Fuel
328;"During fuel balancing operations, fuel pump pressure should be supplied at all times. Without fuel pump pressure, thrust deterioration or engine flameout may
occur above which altitude?";20000ft;25000ft;30000ft;35000ft;3;Fuel
329;If the fuel quantity indication system is inoperative:;Manually compute Vref and enter it in the CDU;Manually set Vref with the SPD REF switch;Vref will be not available;"Enter and periodically update manually calculated fuel
weight on the FMC PERF INIT PAGE";4;Fuel
330;What causes the ENG VALVE CLOSED lights to illuminate bright blue?;When the valve has seated in the position indicated by the switch position;When the valve is in transit or valve position and engine start lever or engine fire warning switch disagree;When AC power is removed, the lights illuminate bright blue as a warning;Turning either engine start switch to the GND position;2;Fuel
331;"What is the power source for opening and closing the Spar Fuel Shutoff
Valves?";AC power from the Standby AC Bus;DC power from the Switched Hot Battery Bus;DC power from the Hot Battery Bus;DC power from the Main DC bus N°1;3;Fuel
332;Where is the fuel temperature sensor located?;In the main tank N°2;In the center tank fuel;In main tank N°1;In the main fuel manifold;3;Fuel
333;What is the maximum fuel temperature?;49° C;43° C;49° F;94° F;1;Fuel
334;What is the minimum inflight tank fuel temperature?;"-49°C or 3°C above freezing point of fuel being used,
whichever is higher";"-43°C or 5°C above freezing point of fuel being used,
whichever is higher";"-43°C or 3°C above freezing point of fuel being used,
whichever is higher";"-43°F or 3°F above freezing point of fuel being used,
whichever is higher";3;Fuel
335;What causes the crossfeed VALVE OPEN light to illuminate bright blue?;"Crossfeed valve is in transit or valve position and
crossfeed selector disagree";"Crossfeed valve open with crossfeed selector in open
position";"Crossfeed valve closed with crossfeed selector in closed
position";Crossfeed valve or crossfeed selector inoperative;1;Fuel
336;When must the crossfeed valve be closed?;Approach and landing;During climbs and descents;Only during ground operations;For takeoff and landing;4;Fuel
337;What powers the crossfeed valve?;AC power through the Standby AC bus;DC power so with complete loss of AC power, fuel can be directed to both engines from any tank;AC power unless AC power is lost. Power source then shifts to DC power through the switched hot battery bus;AC power through Main AC bus 2;2;Fuel
338;What causes the FILTER BYPASS light to illuminate?;Complete filter obstruction due to contaminants;Fuel is bypassing the filter;"Fuel filter has malfunctioned causing fuel to be routed
around it";Impending filter bypass due to a contaminated filter;4;Fuel
339;What causes the center fuel pump LOW PRESSURE light to illuminate?;"Fuel pump output pressure is low with the FUEL PUMP
switch ON";"Fuel pump output pressure is low or fuel pump switch is
OFF";Turning the center tank fuel pump switches OFF;Fuel pump output pressure is low;1;Fuel
340;What causes the center tank fuel pump LOW PRESSURE light to extinguish?;Turning FUEL PUMP switch ON;Turning the crossfeed valve switch to the open position with main tank FUEL PUMP switches in the ON position;Center tank FUEL PUMP switch OFF or FUEL PUMP switch ON and output pressure is normal;Using the main tank boost pumps to replenish center tank fuel quantity;3;Fuel
341;How is the center tank fuel pump LOW PRESSURE light different from the main tank fuel pump LOW PRESSURE lights?;Main tank fuel pump LOW PRESSURE lights illuminate only when switched ON and output pressure is LOW;Main tank fuel pump LOW PRESSURE lights illuminate when output pressure is low regardless of switch position;Main tank fuel pump LOW PRESSURE lights illuminate only when fuel quantity in main tanks drops below 907Kg;Main tank fuel pump LOW PRESSURE lights extinguish when switches are turned OFF;2;Fuel
342;"The center tank fuel scavenge jet pump, transfers fuel remaining in the center
tank into which main tank?";N°2 main tank;Both N° 1 and N°2 main tanks;N°1 main tank;"Neither. Fuel is pumped directly to the hydro mechanical
units";3;Fuel
343;"When AC fuel pumps are not operating, fuel for the APU is suction fed from
which tank?";N°2 main tank;The center fuel tank;N°1 and N°2 main tanks depending on which has more fue;lN°1 main tank;4;Fuel
344;What does an illuminated main tank fuel pump LOW PRESSURE light indicate?;Low fuel pressure in the affected tank;Fuel pump switch is OFF;The fuel pump pressure output is low;"Fuel pump switch is OFF and/or the fuel pump output
pressure is low";4;Fuel
345;What powers the center tank and main tank fuel pumps?;AC powered. Therefore with a complete loss of AC power the engines are being suction fed;DC powered. Therefore with a loss of AC power the pumps will still be powered by the Standby power system;AC primary with the DC Standby power as backup in case of AC failure;DC Hot Battery Bus to enable pump operation at any time;1;Fuel
346;What is the de-fueling valve used for?;The de-fueling valve, located on each trailing edge of the starboard wing is used for emergency fuel jettison;The de-fueling valve, located outboard of the engine N°2, is used for de-fueling and tank to tank transfer operation;The de-fueling valve, located on the outboard trailing edge of the port wing is used to de-fueling the aeroplane and jettison fuel in specified non-normal situations;"The de-fueling valve, located on the aft section of the APU fuel manifold is used to drain fuel from the APU fuel manifold for manifold is used to drain fuel from the APU
fuel manifold for maintenance operations";2;Fuel
347;Can tank to tank fuel transfer be performed in flight?;Yes;No;"Yes, but only from center tank to either main tank. Main
tank fuel cannot be transferred";"Yes, but only from one main tank to another. Fuel cannot
be transferred to or from the center tank";2;Fuel
348;Which fuel tank produce greater pressure?;Main tank pumps produce greater pressure at all times;Center tank pumps until center tank fuel quantity decrease below 91kg, then main tank pumps produce greater pressure to prevent cavitations of center tank fuel;Main tank pumps produce greater pressure until 907kg remain in each tank in order to use main tanks fuel first;"Center tank pumps produce greater pressure overriding the main tank pumps in the fuel manifold. Therefore the center fuel will be used to pressure feed the engines
before the main tank fuel is used";4;Fuel
349;"At what fuel quantity would you see the amber LOW indication on the Upper
Display Unit?";Center tank below 907kg;Either main tank below 1134kg;Either main tank is less than 907kg;Any tank below 907kg;3;Fuel
350;When is the CONFIG indication inhibited?;When the center tank quantity is less than 363kg;When the center tank quantity is less than 91kg;When the center tank boost pumps are turned off;"From takeoff (ground speed >80kt) until 30sec after
touchdown";1;Fuel
351;"Random fuel imbalance must not exceed                for taxi, takeoff, flight or
landing.";0 (Zero);91kg;363kg;453kg;4;Fuel
352;"If the center tank contains more than 453kg, what must be true of the main tank
fuel quantity?";Main tanks must be full;Main tanks must be at least 2/3 full;Main tanks can be no more than half empty;Main tanks must have a minimum of 760kg in each tank;1;Fuel
353;The engine fuel shutoff valve:;Are controlled by both the engine fire warning switch and the engine start lever;Are the only fuel shutoff valve with an associated blue ligh on the forward overhead fuel panel;And the spar fuel shutoff valve require AC power to operate;"And the spar fuel shutoff valve close whenever their respective engine fire warning switch is pulled or engine
start lever is placed to CUTOFF";4;Fuel
354;"On the ground with 460kg fuel difference in the main tanks, would you see the
IMBAL indication?";No. It is inhibited when the aeroplane is on the ground;Yes. The difference is greater than 453kg;Yes. The difference is greater than 363kg;No. The difference must exceed  726kg;2;Fuel
355;If you have an IMBAL and LOW situation simultaneously, which one will be displayed on the Upper Display Unit?;IMBAL has priority;LOW has priority;"Neither. This is a fuel system non-normal situation. The Master Caution will illuminate along with a “fuel”
annunciation";Low has priority unless the imbalance exceed 726kg then the imbalance message will be annunciated;2;Fuel
356;"The imbalance indication (IMBAL) shows until the main tanks are within             
kg of each other:";453kg;363kg;113kg;91kg;4;Fuel
357;"At what fuel quantity would you see the amber IMBAL indication between main
tank quantity displays on the Upper Display Unit?";When main tank differ by more than 91kg;When main tank differ by more than 363kg;When main tank differ by more than 453kg;When main tank differ by more than 726kg;3;Fuel
358;What is the allowable scheduled fuel imbalance between main tanks 1 and 2?;453kg or less;91kg or less;363kg with center tank boost pumps OFF;0 (Zero);4;Fuel
359;"What causes the amber CONFIG indication at the CTR tank fuel indicator on
the Upper Display Unit?";Center fuel tank quantity greater than 726kg;"Both center tank pumps producing low or no pressure and
either engine operating";Both of the answers A and B are correct;Neither of the answers are correct;3;Fuel
360;"The STANDBY HYD LOW QUANTITY light illuminates, what other indication wi
you have:";System A quantity between ¾  and RF (refill) indication;"Both Master Caution lights and the flight control
annunciator light illuminate";Both system B pumps overheat lights illuminated;"Illumination of the low pressure standby hydraulic amber
light";2;Hydraulics
361;The refill indication (RF) is displayed adjacent to it’s respective hydraulic system quantity:;Automatically when the hydraulic quantity of the respective system is below 88%;At all times;"When the hydraulic quantity is below 76% in either system and valid only when the aeroplane is on the ground with both engines shutdown or after landing with flaps up
during taxi-in";Only during the Master Caution system recall;3;Hydraulics
362;If a leak occurs in the system B, the standby hydraulic system will:;Leak to zero capacity;Leak to 74% capacity;Leak to 76% capacity;"A leak in the B system has no effect on the standby
hydraulic system";4;Hydraulics
363;When the system B engine driven hydraulic pump pressure is lost, the Power Transfer Unit (PTU) supplies an additional volume of hydraulic fluid to operate?;Trailing edge flaps;Alternate landing gear transfer unit;AutoslatS and leading edge flaps and slats at the normal rate;Outboard spoilers;3;Hydraulics
364;Autoslats are normally powered by?;System B;System A;Standby system;All of the answers are correct;1;Hydraulics
365;Pulling the engine N°2 fire warning switch, shuts off hydraulic fluid to:;The engine driven pump in system A;The engine driven pump in system B;Both engine driven pumps;Both electric hydraulic pumps;2;Hydraulics
366;The standby hydraulic system provides backup power for:;The outboard spoilers, rudder and thrust reversers;"Thrust reversers, rudder, leading edge flaps and slats
(extend only) and standby yaw damper";The inboard spoilers, rudder and thrust reversers;"The alternate brakes, rudder, thrust reversers and
standby yaw dumper";2;Hydraulics
367;If a leak occurs in the standby system:;"System B reservoir fluid level indication decreases and
stabilizes at approximately 72% full";The standby reservoir quantity decreases to zero;All of the answers are correct;"The LOW QUANTITY light illuminates when the standby
reservoir is approximately half full";3;Hydraulics
368;The amber Standby Hydraulic System LOW PRESSURE is armed:;At all times;"Only when either FLT CONTROL switch is moved to
STBY RUD";"Only when the ALTERNATE FLAPS switch is moved to
ARM";"Only when standby pump operation has been selected or
the automatic standby function is activated";4;Hydraulics
369;"During normal operations, variations in hydraulic quantity indications occur
when:";The system becomes pressurized after engine start;"Raising or lowering the landing gear or leading edge
devices";Cold soaking occurs during long periods of cruise;All of the answers are correct;4;Hydraulics
370;"If the system A engine driven  hydraulic pump LOW PRESSURE (Amber)
annunciator light illuminates:";Position the hydraulic pump switch to OFF;Pull the engine N°1 fire warning switch;Disconnect the N°1 IDG;Monitor system B pressure;1;Hydraulics
371;What is the minimum fuel for ground operation of electric hydraulic pumps?;453kg in the related main tank;726kg in both main tanks;760kg in the related main tank;760kg in the center tank;3;Hydraulics
372;"The system B engine driven pump supplies the volume of hydraulic fluid needed
to operate the Landing Gear Transfer Unit when:";Either main landing gear is not up and locked;The engine N°1 RPM drops below a limit value;Airborne with the landing gear lever positioned UP;All conditions must exist together;4;Hydraulics
373;"The standby hydraulic system can be activated manually or automatically and
uses a single electric motor driven pump to power:";The rudder and thrust reversers;All of the answers are correct;The leading edge flaps and slats (extend only);Standby yaw damper;2;Hydraulics
374;"If engine N°1 fails and the APU generator is inoperative, what hydraulic pumps
are operational?";"One system A electric pump, two system B pumps engine
driven and electric";"Two system A pumps, two system B pumps and no
standby hydraulic pump";"One system A engine driven pump, two system B pumps
and the standby pumps";"One system B electric pump and the standby hydraulic
pump";1;Hydraulics
375;With the loss of hydraulic System B, (System A operating normally) and flaps up:;"Main yaw damper functions are available as long as hydraulic system A is providing normal pressure and the
yaw damper switch is ON";"Standby yaw dumper functions are available as long as hydraulic system A is providing normal pressure and the
switch is ON";Main and standby yaw damper functions are inoperative;"Standby yaw dumper functions are available if the FLT CONTROL B switch is placed to STBY RUD and the yaw
damper switch is reset to ON";3;Hydraulics
376;"An engine driven hydraulic pump supplies approximately         times the volume
of an electric hydraulic pump:";4;2;3;5;1;Hydraulics
377;What does the standby hydraulic LOW QUANTITY light illuminated indicate?;Reservoir is below 76%;Reservoir is below 54%;Reservoir is empty;Low quantity in the standby hydraulic reservoir;4;Hydraulics
378;With a loss of hydraulic System A and the System A FLIGHT CONTROL switch in the STBY RUD position, what are some of the inoperative items?;Autopilot B, yaw damper, alternate nosewheel steering, normal brakes and flight spoiler (2 on each wing);Ground spoilers, flight spoilers (2 on each wing), autopilot A,  normal nosewheel steering and alternate brakes;Standby rudder, power transfer unit, autoslats & trailing edge flaps;None of the above;2;Hydraulics
379;With the loss of System B hydraulic fluid and the system B FLIGHT CONTROL switch to STBY RUD, what allows the movement of trailing edge flaps?;A system pressure;Standby hydraulic system pressure;Power transfer unit (PTU);Electric motor;4;Hydraulics
380;System A and B hydraulic fluid is cooled by:;Air provided by the recirculation fans;Heat exchangers in the left and right pack;Heat exchangers located in the main fuel tanks;None of the above;3;Hydraulics
381;"If a leak develops in system B (either pump, line or component), the quantity
decreases to:";76%;20%;Approximately zero and System B pressure is lost;B system is self sealing and any leak would stop;3;Hydraulics
382;When the manual extension access door is open:;"Manual landing gear extension is possible with the landing
gear lever in any position";"Normal landing gear extension is still possible if hydraulic
system B pressure is available";Landing gear retraction is enabled;None of the answers are correct;1;Landing gear
383;Fittings located in the wheel well ring opening on each main gear wheel well:;Are intended to provide automatic braking to main gear wheels during retraction;Provide positive uplock during main gear retraction;"Are intended to provide protection to wheel well components during gear retraction by preventing that a spinning tire with loose tread from entering the wheel well
causing damage";Allow the landing gear transfer unit to use hydraulic system B pressure to raise the gear if hydraulic system A fails;3;Landing gear
384;Which pressure is indicated by HYD BRAKE PRESSURE Indicator?;Normal pressure of 3500psi;A maximum pressure of 3500psi;A normal pressure of 2000psi;A normal pre-charge of the brake accumulator of 2000psi;2;Landing gear
385;Both normal and alternate Brake System provide:;Skid, locked wheel, touchdown and hydroplane;Skid and hydroplane only;Skid, locked wheel and hydroplane;None of the answers are correct;1;Landing gear
386;If a landing is made with RTO selected (AUTO BRAKE select switch not cycled through OFF):;Automatic braking action occurs at the RTO level;Automatic braking occurs at the MAX level;Braking occurs and the AUTO BRAKE DISARM light illuminates three seconds after touchdown;No automatic braking occurs and the AUTO BRAKE DISARM light illuminates two seconds after touchdown;4;Landing gear
387;Landing autobrake settings may be selected after touchdown:;"However, the AUTO BRAKE DISARM light will be
illuminated";"However, autobrake action will occur only when both
thrust lever are retracted to reverser thrust range";Prior to decelerating through 60kt groundspeed;After decelerating through 60kt groundspeed;3;Landing gear
388;"After braking has started, which of the following pilot actions will disarm the AUTO BRAKE System immediately and illuminate  the AUTO BRAKE DISARM
light:";Moving the SPEED BRAKE lever to the down detent;Advancing the forward thrust lever(s), except during the first two seconds after touchdown for landing;Applying manual brakes;All of the answers are correct;4;Landing gear
389;The air/ground system receives air/ground logic signals from:;Four sensors, two on each  landing gear;Three sensors, one on each landing gear;Six sensors, two on each landing gear;Three laser signal generators, one on each landing gear;3;Landing gear
390;What system normally provides hydraulic pressure for nose wheel steering?;System A;System B;Standby system;The nose wheel steering accumulator;1;Landing gear
391;If the nose gear steering lockout pin is not installed for pushback or towing:;The System B hydraulic pumps must be placed OFF;"Movement of the nose wheel is possible greater than 78
degrees left or right of center";The System A hydraulic pumps must be placed OFF;System A and B must be pressurized;3;Landing gear
392;Which of the following is not part of the Brake System?;Antiskid protection;Parking brake;Brake accumulator;Nose wheel brakes;4;Landing gear
393;"Which of the following conditions must exist to arm the RTO mode prior to
takeoff?";All of the answers are correct;Wheel speed less than 60kt;Forward thrust lever positioned to IDLE;The AUTO BRAKE switch positioned to RTO;1;Landing gear
394;What could cause the amber ANTISKID INOP light to illuminate?;The AUTO BRAKE select switch positioned to OFF;"A system fault has been detected by the antiskid
monitoring system";Brake accumulator pressure is in the red band;System B pressure is low;2;Landing gear
395;What airspeed must be considered with a wheel well fire situation?;The extend limit speed of 280K/.72M;The retract landing gear speed of 245kt maximum;250KIAS at all altitudes;The extend limit speed of 270K/.82M;4;Landing gear
396;"What happens if you reject a takeoff after reaching 90kt with the AUTO BRAKE
Select Switch in RTO?";"Maximum braking pressure is applied when thrust levers
are retarded to idle";Automatic braking when reverser thrust selected;None of the answers are correct;The AUTOBRAKE DISARM light will illuminate;1;Landing gear
397;"The Brake Accumulator Pressure also provides pressure to maintain the parkin
brake when both normal and alternate braking are lost.";True;False;;;1;Landing gear
398;"Hydraulic pressure from System B supplies a volume of hydraulic fluid required
to raise the landing gear at normal rate when:";The landing gear lever is positioned up;Either main landing gear is not up and locked;"When airborne and the engine N°1 RPM drop below a limi
value";All of the answers are correct;4;Landing gear
399;Alternate Brake System provides antiskid protection:;To wheel pairs;To individual wheels;To inboard antiskid valve of each wheel pair;None of the answers are correct;1;Landing gear
400;"Which of the QRH takeoff speeds must be adjusted when the takeoff is made
with the antiskid inoperative?";V1 - VR - V2;V1 - VR;V1 - VMBE;V1;4;Performance and flight planning
401;"Which of the normal QRH/FMC takeoff speeds may be used if stopway was
used to increase the takeoff weight?";None;V1;VR and V2;V1 - VR - V2;3;Performance and flight planning
402;"Choose the list which contains AFM restrictions on the use of assumed
temperature reduced thrust?";"Antiskid inoperative, contaminated runway, max thrust
reduction -25%";"Antiskid inoperative, tailwind takeoff, max thrust reduction
25%";"Antiskid inoperative, contaminated runway, max thrust
reduction -15%";"Antiskid inoperative, contaminated runway, max thrust
reduction -5%";1;Performance and flight planning
403;Choose the correct statement:;"In landing planning, aeroplanes must be able to stop withi
60% of the available runway";"The quick turnaround limit ensures sufficient brake energy
capability in the next takeoff";The brake cooling schedule can be used for landing only;"The minimum climb gradient of 3,2% is based on one
engine operative";1;Performance and flight planning
404;Select the best definition of V1(MCG) speed:;"The V1 speed associated with the maximum aerodynamic
control speed on the ground";"The V1 speed associated with the minimum aerodynamic
control speed on the ground";"The speed by which you must have made the decision to
stop the aeroplane";"The speed by which you must have made the decision to
continue the takeoff";2;Performance and flight planning
405;Select the best definition of V1 speed:;"The minimum speed where the rudder is effective for
steering the aeroplane";"The maximum speed where an action must occur to stop
the aeroplane on the runway";"The maximum speed at which the takeoff can be
continued following recognition of an engine failure";"The speed at which the pilot starts the decision process
for the stop-go decision";2;Performance and flight planning
406;Select the best definition of V2 speed:;"The normal all engine initial climb speed. Minimum V2
must be equal to or greater than 1.1 times the 1-g stall speed and 1.1 times Vmca";"The normal all engine initial climb speed. Minimum V2
must be equal to or greater than 1.13 times the 1-g stall speed and 1.1 times Vmca";"The normal engine inoperative initial climb speed. Minimu
V2 must be equal or greater than 1.1 times the 1-g stall speed and 1.13 times Vmca";"The normal engine inoperative initial climb speed. Minimu
V2 must be equal or greater than 1.13 times the 1-g stall speed and 1.1 times Vmca";4;Performance and flight planning
